acronym,meaning
AAP,airlock adapter plate
AAP,analog autopilot
AAP,assemble at pad
AAS,abort advisory system
AAS,advanced antenna system
AASM,Association of American Steel Manufacturers
AB,adapter booster
AB,afterburner
AB,air bearing
AB,airborne
AB,anchor bolt
AB,autobeacon
AB,avionics bay
ABA,"dc amplifier, buffer, and attenuator"
ABC,Ada browse capability
ABC,automatic brightness control
ABCAS,algorithm beam center and shape
ABCF,as-built configuration file
ABCL,as-built configuration list
ABCP,airborne command post
ABCR,as-built configuration record
ABD,Airborne Ballistics Division (NASA)
ABE,air-based electronics
ABE,air-breathing engine
ABE,arm-based electronics
ABERT,auto bit error rate test
ABES,air-breathing engine system
ABETS,airborne beacon test set
ABI,avionics bus interface
ABJIT,algorithm beam jitter
ABL,airborne laser
ABL,aircraft-based laser
ABLE,airborne laser evaluation
ABLOS,algorithm beam line of sight
ABM,acquisition bus monitor
ABM,advance bill of materials
ABM,antiballistic missile
ABM,apogee boost motor
ABMA,Army Ballistic Missile Agency
ABMCP,airborne military command post
ABMO,Antiballistic Missile Office
ABNCP,Airborne National Command Post
ABPS,air-breathing propulsion system
ABRES,antiballistic reentry system
ABS,air-break switch
ABS,ammonia boiler system (subsystem)
ABT,air-bearing table
ABTCU,active baseplate thermal control unit
AC,advanced composite
AC,aerodynamic center
AC,application controller
AC,assembly complete
AC,audio center
AC,auxiliary computer
ACA,altitude controller assembly
ACA,annunciator control assembly
ACA,Associate Contractor Administration
ACA,attitude controller assembly
ACA,auxiliary crew compartment
ACAP,Advanced Computer Airframe Program
ACB,air-cushion barge
ACC,advanced carbon-carbon
ACC,aft cargo compartment
ACC,automatic control console
ACC,auxiliary crew compartment
ACCE,augmented continuous control evaluator
ACCESS,assembly concept for construction of erectable space
ACCN,audit central control network
ACCS,adaptive communication control subsystem
ACCU,audio central control unit
ACD,accuracy control document
ACD,anti-carryover device
ACD,architectural control document
ACDA,Arms Control and Disarmament Agency
ACDNS,"attitude control, determination, and navigation"
ACDS,attitude control and determination system (subsystem)
ACE,acceptance checkout equipment
ACE,actual average cost per successful mission
ACE,attitude control electronics
ACE,automatic checkout equipment
ACEL,Air Crew Equipment Laboratory (U.S. Navy)
ACES,acceptance checkout and evaluation system
ACES,acceptance control equipment section
ACES,automatic checkout equipment sequencer
ACEU,aerocontrol electronics unit
ACF,American Car and Foundry
ACI,age-controlled item
ACI,allocated configuration identification
ACIL,automatic controlled instrument landing
ACIP,aerodynamic coefficient identification package
ACIP,aerodynamic coefficient instrumentation package
ACL,access control list
ACL,allowable container load
ACL,ascent closed loop
ACLC,adaptive communication live controller
ACLS,automated control and landing system
ACM,acquisition control module
ACM,actual average cost per successful mission
ACM,Association of Computing Machinery
ACM,auxiliary core memory
ACMA,Army class managing activity
ACMB,Applications Configuration Management Board
ACME,attitude control and maneuvering electronics
ACMS,automated configuration management system
ACN,acceptance change notice
ACN,Ascension Island (STDN)
ACO,acceptance checkout
ACO,administrative contracting officer
ACO,assembly checkout
ACP,airborne command post
ACP,astronaut control panel
ACP,audio control panel
ACPL,assembly component parts list
ACPM,associate contractor program manager
ACPM,attitude control propulsion motor
ACPO,Associate Contractor Project Office
ACPS,attitude control propulsion system
ACR,actual cost report
ACRC,assured crew return capability
ACRES,automated change request and evaluation system
ACRIM,active cavity radiometer irradiance monitor
ACRS,accelerated cost recovery system
ACRS,Advisory Committee on Reactor Safeguards
ACRV,assured crew return vehicle
ACS,advanced combat system
ACS,aft crew station
ACS,alternating current synchronous
ACS,altitude control and stabilization
ACS,American Chemical Society
ACS,atmosphere control system
ACS,attitude control and stabilization
ACS,attitude control system
ACS,automated control system
ACSN,advance change schedule notice
ACSN,advance change/study notice
ACSU,alternating-current switching unit
ACT,acquisition coarse tracker
ACT,"acquisition, control, and test"
ACT,audio center transmission
ACTA,activate test article
ACTS,acquisition coarse tracker subsystem
ACTS,advanced communication technology satellite
ACU,annunciator control unit
ACU,avionics cooling unit
ACUO,avionics cooling unit operator
ACV,air-cushion vehicle
ACWP,actual cost for work performed
AD,Administrative Operations and Support Service (KSC
AD,advanced development
AD,air density
AD,associate director
ADA,adaptive diagnostic authoring
ADA,azimuth drive assembly
ADABECS,airborne demonstration advanced beam extraction am
ADAC,attitude determination and control
ADACS,attitude determination and control system
ADADL,Ada design and documentation language
ADAES,advanced data assessment expert system
ADAM,automated distributed architecture model
ADAMS,automated dynamic analysis of mechanical systems
ADAP,aerodynamic data analysis program
ADAP,automated data analysis program
ADB,Aerodynamic Data Book
ADB,auxiliary memory data output bus
ADC,Aerospace Defense Command
ADC,Air Defense Command
ADC,air data computer
ADC,analog-to-digital computer
ADC,analog-to-digital converter
ADC,attitude determination and control
ADCN,"attitude determination, control, and navigation"
ADCOM,air defense command
ADCR,applicable document contractual record
ADCS,attitude determinate control system
ADCS,attitude determination and control subsystem
ADD,architecture definition document
ADF,automatic direction finder
ADF,automatic display finder
ADFRF,Ames/Dryden Flight Research Facility
ADH,advanced development hardware
ADI,analytic and design investigation
ADI,attitude direction indicator
ADI,attitude director indicator
ADI,attitude display indicator
ADIC,Air Defense Intelligence Center
ADL,Ada design language
ADL,Ada-based design language
ADL,Advanced Development Laboratory
ADL,Avionics Development Laboratory
ADM,air data management
ADMS,automated data management system
ADOP,advanced distributed on-board processor
ADP,acceptance data package
ADP,acceptance documentation package
ADP,Advanced Development Program (NASA)
ADP,air data package
ADP,air data probe
ADP,automated data processing
ADP,automatic data processing
ADPA,air data probe assembly
ADPE,automated data processing equipment
ADPE,automatic data processing equipment
ADPF,automated data processing facility
ADPL,as-designed parts list
ADPS,acceptance data package system
ADPSSM,ADP system security monitor
ADR,Aerospace and Defense Research
ADRL,automatic drawing release list
ADS,air data sensor
ADS,air data system (subsystem)
ADS,angular displacement sensor
ADS,ascent design system
ADS,attitude determination subsystem
ADS,attitude display system
ADS,audio distribution system
ADSA,alternate demonstration structural article
ADSF,automatic directional solidification furnace
ADT,air data transfer
ADTA,air data transducer assembly
ADU,annunciator display unit
ADU,ascent driver unit
AE,architectural and engineering
AEB,aft equipment bay
AEC,aft end cone
AEC,aft events controller
AEC,American Engineering Council
AEC,Atomic Energy Commission
AECS,area entry control system
AECS,automated entry control system
AED,Aerospace Electrical Division (Westinghouse)
AED,analog event distributor
AEDC,Arnold Engineering Development Center
AEDS,analog event distribution system
AEM,acoustical emission monitoring
AEM,arsenal exchange model
AEM,assembly and external maintenance
AEOP,adaptive electro-optical processor
AER,Atomic Energy Research
AERO,Aeroballistics (MSFC)
AES,advanced electrical schematic
AES,American Electrochemical Society
AES,American Electroplaters Society
AES,analog event system
AES,atmosphere exchange system
AES,Auger electron spectroscopy
AESOP,an easy system of programming
AET,aerosurface end-to-end test
AET,algorithm evaluation and test
AETB,alumina-enhanced thermal barrier
AETL,approved engineering test laboratory
AF,aft fuselage
AF,Air Force
AF,airframe
AF,audio frequency
AF,award fee
AF/DBS,areal fluid data base system
AF/IN,Air Force/Intelligence
AFA,airframe assembly
AFA,American Foundrymen's Association
AFAD,armed forces acquisition document
AFAL,Air Force Astronautics Laboratory
AFAL,Air Force Avionics Laboratory
AFALD,Air Force Acquisition Logistics Division (WPAFB)
AFAPL,Air Force Aero Propulsion Laboratory
AFATL,Air Force Armaments Test Laboratory
AFB,Air Force base
AFBMA,Antifriction Bearing Manufacturing Association
AFBMD,Air Force Ballistic Missile Division
AFC,aerodynamic flight control
AFC,automatic flight control
AFC,automatic frequency control
AFCS,automatic flight control system
AFCSC,Air Force Cryptologic Support Center
AFD,acceptance for data
AFD,aft flight deck
AFD,assistant flight director
AFDE,aft flight deck equipment
AFDO,aft flight deck operator
AFDR,ascent flight design review
AFE,Aeroassist Flight Experiment
AFEB,Award Fee Evaluation Board
AFEC,Award Fee Evaluation Committee
AFESD,Air Force Electronic Systems Division
AFETR,Air Force Eastern Test Range
AFETRM,Air Force Eastern Test Range Manual
AFEV,Air Force experiment vehicle
AFF,acceptance and ferry flight
AFFDL,Air Force Flight Dynamics Laboratory
AFFTC,Air Force Flight Test Center (EAFB)
AFFTC/RPL,Air Force Flight Test Center/Rocket Propulsion
AFGE,American Federation of Government Employees
AFGL,Air Force Geophysics Laboratory
AFGWC,Air Force Global Weather Center
AFI,automatic fault isolation
AFLC,Air Force Logistics Command
AFM,Air Force manual
AFM,arm/firing mechanism
AFMDC,Air Force Missile Development Center
AFML,Air Force Materials Laboratory
AFMTC,Air Force Missile Test Center
AFO,abort from orbit
AFO,announced flight opportunity
AFOSH,Air Force Occupational Safety and Health
AFOTEC,Air Force Operational Test and Evaluation Center
AFP,advanced flexible processor
AFP,Air Force plant
AFP,Ariane-furnished property
AFP888,designation for P80-1 spacecraft
AFPC,Air Force Program Control
AFPD,authorization for program development
AFPM,Air Force program manager
AFPR,Air Force plant representative
AFR,Air Force regulation
AFRPL,Air Force Rocket Propulsion Laboratory (EAFB)
AFRSI,advanced flexible reusable surface insulation
AFS,Air Force standard
AFS,Air Force station
AFS,ascent flight system
AFSA,Air Force study and analysis
AFSAT,Air Force satellite
AFSATCOM,Air Force satellite communication(s)
AFSC,Air Force Space Command
AFSC,Air Force specialty code
AFSC,Air Force Systems Command
AFSCF,Air Force Satellite Control Facility
AFSCF,Air Force Space Command Facility
AFSCF,Air Force Systems Command Facility
AFSCN,Air Force satellite control network
AFSCN,Air Force Space Command network
AFSCS,Air Force satellite communications system
AFSD,Air Force Space Division
AFSIE,Air Force standard items and equipment
AFSIG,Ascent Flight System Integration Group
AFSLV,Air Force space launch vehicle
AFSPACECOM,Air Force Space Command
AFSRT,avionics flight systems readiness test
AFSSD,Air Force Space Systems Division
AFSTC,Air Force Satellite Test Center
AFSTC,Air Force Space Technology Center
AFSTC,Air Force Space Technology Command
AFSWC,Air Force Special Weapons Center (Holloman AFB)
AFT,active fine tracker
AFT,aerodynamic flight test
AFT,atmospheric flight test
AFTA,acoustic fatigue test article
AFTA,aft frame tilt actuator
AFTEC,Air Force Test and Evaluation Center
AFTOC,Air Force Tactical Operations Center
AFTP,Air Force test procedure
AFTS,aft fuselage thrust structure
AFWAL,Air Force Weapons Analysis Laboratory
AFWAL,Air Force Wright Aeronautical Laboratory
AFWAL/ML,Air Force Wright Aeronautical Lals Laboratory
AFWL,Air Force Weapons Laboratory
AFWPAL,Air Force Wright-Patterson Aeropropulsion Laboratory
AFWSG,Air Force Weapons System Group
AFWTR,Air Force Western Test Range
AG,artificial gravity
AG,attitude gyro
AGAA,attitude gyro accelerometer assembly
AGAP,attitude gyro accelerometer package
AGARD,Advisory Group for Aeronautical Research and Development
AGC,Aerojet General Corporation
AGC,automatic gain control
AGCA,automatic ground-controlled approach
AGCS,automatic ground control station
AGCU,air/ground cooling unit
AGCU,attitude gyro coupling unit
AGE,aerospace ground equipment
AGE,air/ground equipment
AGE,automatic ground equipment
AGI,agreement item
AGL,above ground level
AGL,above-ground link
AGL,absolute ground level
AGMA,American Gear Manufacturer's Association
AGMC,Aerospace Guidance and Metrology Center
AGN&C,"advanced guidance, navigation, and control"
AGO,"Santiago, Chile (STDN)"
AGOES,advanced geosynchronous observation environment
AGOSS,automated ground operations scheduling system (KSC)
AGREE,Advisory Group in Reliability of Electronic Equipment
AGS,abort guidance system
AGS,antigravity suit
AGS,ASPS gimbal system
AGT,adaptive guidance throttling
AH,ampere hour
AH,attitude hold
AHCS,advanced helicopter control system
AHI,artificial horizon indicator
AHM,automatic hold mode
AHP,analytical hierarchy process
AHP,pitch axis attitude hold
AHR,ablative heat rate
AHR,roll axis attitude hold
AHRS,attitude heading reference system
AHS,aft heat shield
AI,action item
AI,airspeed indicator
AI,altimeter indicator
AI,altitude indicator
AI,anti-icing
AI,artificial intelligence
AI,associate investigator
AI/ES,artificial intelligence/expert system
AIA,Aircraft Industries Association
AIAA,American Institute of Aeronautics and Astronautics
AICBM,anti-ICBM
AICC,action item control card
AICE,American Institute of Chemical Engineers
AICP,aerodynamic instrumental coefficient package
AICS,action item closeout sheet
AID,abbreviated item description
AID,action item disposition
AID,analog input differential
AID,audit item disposition
AIDE,aerospace installation diagnostic equipment
AIDS,airborne integrated data system (subsystem)
AIEE,American Institute of Electrical Engineers
AIIM,Association for Information and Image Management
AIL,Avionics Integration Laboratories
AILAS,automatic instrument landing approach system
AILS,automatic instrument landing system
AIM,automatic information management
AIME,American Institute of Mechanical Engineers
AIOD,ascent insertion on-orbit deorbit
AIP,aircraft instrumented payload
AIP,avionics integration plan
AIR,action item report
AIR,adaptive intercommunication requirement
AIS,action item sheet
AIS,airborne imaging spectrometer
AIS,airlock illumination subassembly
AIS,analog-in single-ended
AISC,American Institute of Steel Construction
AISD,Autonetics ICBM Systems Division (Rockwell)
AISI,American Iron and Steel Institute
AIST,abbreviated integration system test
AIST,advanced interferometric system technology
AIST,Agency of Industrial Science and Technology
AISTR,advanced interferometric system technology requirement
AIT,autoignition test
AIU,abort interface unit
AIU,avionics interface unit
AJ,antijamming
AJ,assembly jig
AJCS,automated job card system
AKA,active keel actuator
AKM,apogee kick motor
AL,airlock
AL,approach and landing
AL,autoland
ALAS,approach/landing autopilot subsystem
ALASAT,air-launched antisatellite
ALASS,alternate low-altitude surveillance system
ALB,acceptance log book
ALC,aft load controller
ALC,air logistics center
ALC,audio load compensator
ALC,automatic level control
ALC,automatic light control
ALCA,aft load controller assembly
ALCA,automatic level-control assembly
ALCC,Airborne Launch Control Center
ALCM,air-launched cruise missile
ALCOA,Aluminum Corporation of America
ALCOM,algorithm line-of-sight comparison
ALDC,automatic load and drive control
ALDO,activity-level-dependent operation
ALE,Airborne Laser Experiment
ALE,airport lighting equipment
ALERT,acute launch emergency reliability tip
ALERT,acute launch emergency restraint tip
ALFA,air-lubricated free attitude
ALFT,approach and landing flight test
ALGOL,algorithmic language
ALIO,activity-level-independent operation
ALL,Airborne Laser Laboratory
ALMS,automated logistics management system
ALOSA,algorithm line-of-sight angle
ALPS,advanced liquid propulsion system
ALPS,approach and landing procedures simulator
ALRC,Aerojet Liquid Rocket Company
ALRUTS,automated line replaceable unit tracking system (KSC)
ALS,Ada language system
ALS,advanced launch system
ALS,advanced logistics system
ALS,airlock system
ALS,alternative landing site
ALS,approach/landing system
ALS,automatic landing system
ALSA,astronaut life support assembly
ALSE,astronaut life support equipment
ALSEMP,ALS Engineering Management Plan
ALSGEM,ALS global evaluation module
ALSS,advanced life support system
ALSS,airlock support system (subsystem)
ALSSSWG,ALS System Security Working Group
ALSSW,ALS software
ALSYM,ALS model
ALT,approach and landing test
ALTR,approach and landing test requirement
ALTS,avionics LRU tracking system
ALU,arithmetic/logic unit
ALV,advanced launch vehicle
ALV,advanced logistics vehicle
ALVIB,algorithm payload vibration
AM,actuator mechanism
AM,Administration and Management Operations (KSC
AM,aeromedical monitor
AM,airlock module
AM,alpha meter
AM,amplitude modulated
AM,amplitude modulation
AM,antenna management
AM,assurance management
AMAL,Aeronautical Medical Acceleration Laboratory
AMAL,Aviation Medical Acceleration Laboratory
AMBD,automated maintenance data base
AMC,aft motor controller
AMC,Air Material Command
AMC,Army Missile Command
AMC,automatic manual control
AMC,automatic mixture control
AMCA,aft motor controller assembly
AMCC,ADL master control console
AMCM,advanced missions cost model
AMCR,automated master change record
AMDCS,assurance management document control system
AMDS,advanced missions docking system (subsystem)
AME,abort maneuver evaluator
AMEC,aft master events controller
AMEU,alpha/Mach indicator electronic unit
AMF,abort motor facility
AMF,apogee memory image
AMFL,Aeromedical Field Laboratory
AMG,Activation Management Group
AMG,angle of the middle gimbal
AMI,airspeed/Mach indicator
AMI,alpha/Mach indicator
AMI,apogee memory image
AMIC,Automated Management Information Center
AMIS,acquisition management information system
AMK,aircraft modification kit
AML,approved materials list
AMLC,asynchronous multiline controller
AMLS,advanced manned launch system
AMMM,autonomous magnetic momentum management
AMO,Aerospace Medical Operations (JSC)
AMOOS,advanced maneuvering orbit-to-orbit Shuttle
AMOS,Air Force Maui optical site
AMPD,Applied Materials Physics Division
AMPR,aeronautical manufacturer's planning report
AMPR,aeronautical manufacturer's progress report
AMPS,"atmosphere, magnetosphere, and plasmas in space"
AMPS,atmospheric magnetospheric plasma system
AMPTE,active magnetospheric particle tracer explorer
AMR,area-to-mass ratio
AMR,Atlantic Missile Range
AMRF,Automated Manufacturing Research Facility
AMRO,AMR operations
AMRV,astronaut maneuvering vehicle
AMS,acoustic measurement system
AMS,actuation mechanism subsystem
AMS,aeronautical material specification
AMS,amplifier subsystem
AMS,attached manipulator system
AMS,automated material system
AMS,automated measurement system
AMSC,advanced military space flight capability
AMSD,Autonetics Marine Systems Division
AMST,advanced medium STOL transport
AMT,auxiliary master tape
AMTAS,automatic modal tuning and analysis system
AMTD,automatic magnetic tape dissemination
AMTF,Acoustic Model test Facility
AMU,astronaut maneuvering unit
AMU,attitude match update
AMW,angular momentum wheel
AMX,AM transmitter-receiver
AMY,Ada management yield
AN,alphanumeric
AN,Army-Navy
ANA,Air Force-Navy aeronautical bulletin
ANARS,autonomous navigation and attitude reference system
ANC,active nutation control
ANC,Air Force-Navy-civil
AND,Air Force-Navy aeronautical design standard
AND,Air Force-Navy design
ANI,"authorized, not implemented"
ANL,automatic noise limiter
ANMCC,Alternate National Military Command Center
ANRA,air navigation radio aid
ANSI,American National Standards Institute
ANT,Antigua (ETR)
ANT,Antigua Island
ANVIL,CAD tool
AO,acoustic-optical
AO,analog output
AO,announcement of opportunity
AOA,abort once around
AOA,airborne optical adjunct
AOA,American Ordnance Association
AOA,angle of attack
AOC,annual operating cost
AOC,auxiliary output chip
AOCP,ac on-board computer program
AOCP,AVCS on-board computer program
AOCRD,acceptance and operational checkout requirements
AOCS,attitude and orbit control subsystem
AOD,advanced object data
AOD,Aircraft Operations Division (JSC)
AOD,analog output differential
AOD,assistant operations director
AOES,advanced orbit ephemeris system
AOFEE,advanced orbiter flight evaluation experiment
AOI,area of interest
AOIS,automatic optical inspection system
AOL,area of launch
AOM,acoustic-optic modulator
AOP,annual operating plan
AOP,assembly operations plan
AOPL,advance order parts list
AOPM,airline operations planning model
AOQ,average outgoing quality
AOQL,average outgoing quality limit
AOS,acquisition of signal
AOS,ACTS optical system
AOS,airborne optical system
AOSP,advanced on-board signal processor
AOT,actual operating time
AOT,alignment optical telescope
AOT,avionics operating time
AOT,avionics overall test
AP,accelerometer package
AP,access panel
AP,access point
AP,administrative procedure
AP,air pressure
AP,atmospheric and space physics
AP,autopilot
AP,"Procurement, Supply, and Transportation (KSC"
AP&P,advanced plans and programs
APA,abort programmer assembly
APA,allowance for program adjustment
APAE,attached payload accommodations equipment
APAS,Aerodynamic Performance and Sizing Program
APC,adaptive payload carrier
APC,advanced propulsion comparison
APC,aft power controller
APC,airborne particle counter
APC,armored personnel carrier
APC,automatic phase control
APCA,aft power controller assembly
APCP,Aerojet photoelectric cell program
APD,area passive dosimeter
APD,avalanche photo diode
APDL,Ada programming design language
APE,arithmetic processing extension
APES,advanced processor emulator system
APGC,Air Proving Ground Command
API,air position indicator
APIF,automated process information file
APIRD,authorized procurement information requirements
APIRL,authorized procurement information requirements list
APK,accelerometer package
APL,applications program library
APLAC,analysis program linear active circuit
APLIS,automated payload ICD system
APLM,applications program library maintenance
APM,ascent particle monitor
APM,assistant project manager
APM,associate program manager
APMSM,assembly phase maintenance simulation model
APN,ACE problem notice
APO,automated purchase order
APP,advance procurement package
APP,astrophysics payload
APPF,Automated Payload Processing Facility
APPLE,advanced propulsion payload effect
APPS,auxiliary payload power system
APR,advance parts release
APRF,Army Pulse Radiation Facility
APS,aft propulsion system (subsystem)
APS,ascent propulsion system
APS,attitude propulsion system (subsystem)
APS,automated planning system
APS,automatic processing system
APS,auxiliary power subsystem
APS,auxiliary propulsion system
APSAP,auxiliary propulsion system aft pod
APSE,Ada programming support environment
APSS,atmospheric pressure supply subsystem
APT,airborne pointer tracker
APT,astronaut preference test
APT,automatic programmed tool
APTE,automated production test equipment
APTI,actions per time interval
APU,auxiliary power unit
APU,auxiliary propulsion unit
APUS,auxiliary power unit subsystem
APUT,auxiliary power unit test
APWL,automatically processed wire list
AQL,acceptance quality level
AR,acceptance readiness
AR,acceptance review
AR,acid resisting
AR,antireflection
AR,antireflective
AR,as required
AR,atmospheric revitalization
ARA,attitude reference assembly
ARA,auxiliary recovery antenna
ARABSAT,Saudi Arabian communications satellite
ARAP,Aeronautical Research Associates of Princeton
ARAP,astronaut rescue air pack
ARAR,accident risk assessment report
ARC,aggregation of red blood cells
ARC,"Ames Research Center (NASA, Moffet Field, California)"
ARC,automatic responsivity correction
ARCOMSAT,Arab League communications satellite
ARCS,aft reaction control subsystem
ARD,abort region determinator
ARDC,Air Research and Development Command (Air Force)
ARES,advanced railroad electronic system
ARFDS,automatic reentry flight dynamics simulator
ARGMA,Army Rocket and Guided Missile Agency
ARIA,advanced range instrumentation aircraft
ARIES,astronomical radio interferometric Earth surveying
ARINC,"Aircraft Radio, Incorporated"
ARIS,advanced range instrumentation ship
ARIS,ALS requirements information system
ARMA,accumulator-reservoir manifold assembly
ARMS,automated requirements management system
ARN,action and reply notice
ARN,additional reference number
ARP,as-run procedure
ARPA,Advanced Research Projects Agency (DOD)
ARPCS,atmosphere revitalization pressure control system
ARPCS,atmospheric revitalization pressure control system
ARPESH,accurate and reliable prototype Earth sensor head
ARQ,automatic request
ARRS,air recovery and rescue service
ARS,Air Rescue Service
ARS,air revitalization system (subsystem)
ARS,ALS release system
ARS,American Rocket Society
ARS,atmosphere revitalization subsystem
ARS,atmospheric revitalization section
ARS,atmospheric revitalization system
ARS,attitude reference system
ARSDA,advanced radiation space defense application
ART,automated reasoning tool
ARTCC,air route traffic control center
ARTO,Advanced Radiation Technology Office
ARTOOS,Advanced Radiation Technology Office optical support
ARTS,advanced remote tracking station
ARTS,automated restricted tracking system
ARTS,automated retrieval and tracking system
ARTSE,Ada run-time support environment (for embedded systems)
ARU,attitude reference unit
AS,antispoof
AS&ASD,Autonetics Sensors and Aircraft Systems Division
AS/CP,attitude set/control panel
AS/RS,automated storage and retrieval system
ASA,abort sensor assembly
ASA,adapter service area
ASA,advanced system avionics
ASA,aerosurface amplifier
ASA,aerosurface servoamplifier
ASA,American Standards Association
ASAC,aerodynamic surfaces assembly and checkout
ASAP,ACE Shuttle application processing
ASAP,advanced sensor analysis program
ASAP,Aerospace Safety Advisory Panel
ASAP,as soon as possible
ASAPTS,automated scheduling and product tracking system
ASAS,aerodynamic stability augmentation system
ASAT,antisatellite
ASATS,antisatellite simulation
ASB,airlock stowage bag
ASC,aerodynamic surface control
ASC,aerosurface control
ASC,airlock support component
ASC,American Satellite Corporation
ASC,array stowage container
ASC,Ascension Island
ASC,automatic sensitivity control
ASC,auxiliary switch normally closed
ASCADS,aft station command and data system
ASCE,airlock signal conditioning electronics
ASCE,American Society of Civil Engineers
ASCII,American Standard Code for Information Interchange
ASCOP,Applied Science Corporation of Princeton (Division of EMR)
ASCP,attitude set control panel
ASCS,atmosphere storage and control subsystem (Spacelab)
ASCS,atmospheric storage and control section
ASCS,attitude stabilization and control system
ASD,advanced systems development
ASD,Aeronautical Systems Division (Air Force)
ASDE,aerosurface driver electronics
ASDM,aerosurface driver/monitor
ASDTIC,analog-signal-to-discrete-time-interval converter
ASE,advanced space engine
ASE,aerospace support equipment
ASE,airborne support equipment
ASE,automatic support equipment
ASEA,American Society of Engineers and Architects
ASED,Avionics System Engineering Division (JSC)
ASF,Atmospheric Science Facility
ASFT,abbreviated system functional test
ASFTS,auxiliary system function test stand
ASG,Aeronautical Standards Group
ASG,Avionic Subsystems Group
ASGPD,attitude set and gimbal position display
ASI,airspeed indicator
ASI,amended shipping instructions
ASI,augmented spark igniter
ASI,augmented spark indicator
ASI,augmented system ignition
ASIC,application-specific integrated circuit
ASIC,application-specific integration circuit
ASK,amplitude shift keying
ASKA,automatic system for kinematic analysis
ASL,above sea level
ASL,approved source list
ASLU,antenna select logic unit
ASM,air-to-surface missile
ASM,American Society for Metals
ASME,American Society of Mechanical Engineers
ASN,average sample number
ASO,auxiliary switch normally open
ASO,Aviation Safety Office
ASP,aerosurface position
ASP,airborne science program
ASPI,aerosurface position indicator
ASPP,atmospheric and space plasma physics
ASPR,armed service procurement regulation
ASPS,annular suspension and pointing system
ASPSL,ASPP Sortie Laboratory
ASQC,American Society for Quality Control
ASR,air-sea rescue
ASR,automatic send and receive
ASR,avionic system review
ASRE,American Society of Refrigerating Engineers
ASRM,abort solid rocket motor
ASRM,advanced solid rocket motor
ASRS,automated Shuttle requirement system
ASRS,automated support requirements system
ASSD,Autonetics Strategic Systems Division
ASSE,American Society of Sanitary Engineers
ASSESS,airborne science Shuttle experiments system simulation
ASSH,advanced space systems hardening
ASSO,assistant system security officer
ASST,American Society for Steel Treating
AST,all-systems test
AST,Atlantic standard time
ASTB,AGN&C simulation test bed
ASTD,Advanced Space Technology Division
ASTE,American Society of Tool Engineers
ASTF,Aeropropulsion System Test Facility
ASTG,Aerospace Test Group
ASTIA,Armed Services Technical Information Agency
ASTM,American Society for Testing Materials
ASTP,Apollo-Soyuz Test Project
ASTRA,advanced star tracker
ASTRO,ascent trajectory optimization
ASTS,avionic system test specification
ASVIB,algorithm scoreboard vibrations
AT,access tower
AT,action time
AT,assembly truss
AT&L,acceptance test and logistics
AT&T,American Telephone & Telegraph
ATA,abort time assembly
ATA,advanced tactical aircraft
ATA,aft test article
ATA,Air Transport Association
ATA,assembly test article
ATA,avionics test article
ATAC,Advanced Technology Advisory Committee
ATC,ablative thrust control
ATC,active thermal control
ATC,Air Training Command
ATC,air traffic control
ATC,aircraft target computer
ATC,assistant test conductor
ATC,ATE computer
ATC/FTD,Air Training Command/Field Training Detachment
ATCA,attitude translation control assembly
ATCO,ambient temperature catalytic oxidizer
ATCS,active thermal control system (subsystem)
ATDAP,aircraft target data acquisition program
